City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Henties Bay,-22.116,14.2845,64.4,81,0,8.1,NA,1649706196
Coyhaique,-45.5752,-72.0662,57.81,47,40,8.05,CL,1649706001
Noumea,-22.2763,166.4572,78.01,99,22,5.57,NC,1649706197
Chicama,-7.8447,-79.1469,66.74,66,78,11.01,PE,1649706646
Kloulklubed,7.0419,134.2556,82.76,84,99,23.53,PW,1649706646
Bredasdorp,-34.5322,20.0403,64.9,79,0,0.87,ZA,1649706103
Kapaa,22.0752,-159.319,79.2,84,0,9.22,US,1649706647
Havelock,34.8791,-76.9013,78.98,59,0,14.97,US,1649705853
Jamestown,42.097,-79.2353,62.19,51,100,10.36,US,1649706469
Phang Nga,8.4509,98.5298,78.84,93,19,2.01,TH,1649706648
Mahébourg,-20.4081,57.7,79.09,78,75,11.5,MU,1649706117
Castro,-24.7911,-50.0119,71.76,80,100,5.91,BR,1649706102
Busselton,-33.65,115.3333,56.14,90,0,9.13,AU,1649706090
Vestmannaeyjar,63.4427,-20.2734,41.02,67,100,23.13,IS,1649706144
Skjervøy,70.0311,20.9714,33.8,99,100,18.45,NO,1649706252
Keflavik,64.0049,-22.5624,42.71,65,0,19.57,IS,1649706650
Doha,25.2867,51.5333,82.38,24,42,5.75,QA,1649706650
Vaini,-21.2,-175.2,75.36,100,75,4.61,TO,1649706067
Ushuaia,-54.8,-68.3,46.02,76,20,21.85,AR,1649706651
Bengkulu,-3.8004,102.2655,75.34,89,99,3.27,ID,1649706110
Arraial do Cabo,-22.9661,-42.0278,82.36,69,0,13.8,BR,1649706600
Hilo,19.7297,-155.09,89.28,75,100,5.01,US,1649706361
Punta Arenas,-53.15,-70.9167,50.11,50,40,20.71,CL,1649706652
Albany,42.6001,-73.9662,60.39,34,100,7.27,US,1649706585
Leningradskiy,69.3833,178.4167,-13.47,92,12,3.13,RU,1649706099
Khor,47.8861,134.9464,34.59,89,100,8.46,RU,1649706653
Saldanha,-33.0117,17.9442,69.85,68,0,9.06,ZA,1649706160
Cape Town,-33.9258,18.4232,73.11,53,0,8.05,ZA,1649705868
Cabo San Lucas,22.8909,-109.9124,86.61,56,20,14.97,MX,1649706064
New Norfolk,-42.7826,147.0587,51.89,62,63,3.15,AU,1649706654
Brookhaven,31.5791,-90.4407,73.24,62,95,13.0,US,1649706654
Mount Isa,-20.7333,139.5,74.97,38,76,0.0,AU,1649706057
Isangel,-19.55,169.2667,81.07,78,98,8.93,VU,1649706191
Rikitea,-23.1203,-134.9692,79.23,71,0,16.4,PF,1649706655
Klaksvík,62.2266,-6.589,40.12,72,100,25.03,FO,1649706070
San Patricio,28.017,-97.5169,84.29,66,100,13.69,US,1649706179
Norman Wells,65.282,-126.8329,14.04,44,75,14.97,CA,1649706057
San Matías,-16.3667,-58.4,92.52,46,11,9.24,BO,1649706656
Amazar,53.858,120.875,19.44,87,100,3.62,RU,1649706333
Shimoda,34.6667,138.95,61.56,84,100,6.22,JP,1649706428
